,lat,long,id,date,category,location,mode,price,details,description,surface,rooms,baths,park
245,6.1803713,-75.56214,2895-1392255,2021-09-22,Casa,SAN LUCAS,Arriendo,$6.000.000,"['Código inmueble2895-1392255', 'Barrio comúnSAN LUCAS', 'AntigüedadEntre 5 y 10 años', 'Área construida250 m²', 'Área privada250 m²', 'Valor arriendo$6.000.000', 'Parqueaderos2', ' Área construida 250 m²', '3Habitaciones', '5Baños', '5Estrato']","COD.14048Hermosacasaunifamiliarenrenta,conunáreade250metrosaproximadamenteporconfirmarsobreescrituras,enElPobladoSanLucas,1piso,estrato5enUnidadCerrada.Losventiladoseiluminadosdosnivelesdeesteinmueble,nosofrecenlascomodidadesdesalaycomedorindependientes,tresalcobasconclosetcadauna,alcobadeservicioconsucorrespondientebañosencillo,saladeestar,tresbañosprivadosydosbañossociales,enchapadosycabinados,calentado",,,,
246,6.1924653,-75.58033,2264-AC-22344,2021-09-22,Casa,LA AGUACATALA,Arriendo,$18.000.000,"['Código inmueble2264-AC-22344', 'Barrio comúnLA AGUACATALA', 'AntigüedadEntre 10 y 20 años', 'Área construida500 m²', 'Área privada500 m²', 'Valor arriendo$18.000.000', ' Área construida 500 m²', '1Habitaciones', '6Estrato']",CASAenalquilerenLAAGUACATALAArriendocasacomercialidealparaoficinasectordelaaguacatalaexcelenteubicacionfrenteestaciondelmetrofacilaccesoaviasprincipalesespaciosamplioseiluminadosconcercaniaaESTACIONMETROAGUACATALA.AlcobasdeServicio2Banos6Bibliotecas2ClosetdeLino2Closets6Comedores2Estar2Garajes4InstalaciondeGasPipetaPatios2Salas2Terraza,,,,
247,6.224878,-75.59862,737-731,2021-09-22,Casa,Belen La Gloria,Arriendo,$1.200.000,"['Código inmueble737-731', 'Barrio comúnBelen La Gloria', 'AntigüedadEntre 0 y 5 años', 'Área construida75 m²', 'Área privada75 m²', 'Valor arriendo$1.200.000', ' Área construida 75 m²', '3Habitaciones', '1Baños', '3Estrato']","ArriendocasaenBelénlaGloriasegundopiso,cercaasaludcoop,tresalcobas,tresclosets,unbaño,salacomedor,cocinaintegralreddegas.ArriendaActivosyBienesInmobiliariaExpertaenAdministraciónyArrendamientodeapartamentos,casas,locales,bodegasyoficinasenelOrienteAntioqueño,MedellínytodaelÁreaMetropolitana.",,,,
248,6.241015,-75.58698,2895-1323872,2021-09-22,Casa,LOS CONQUISTADORES,Arriendo,$8.000.000,"['Código inmueble2895-1323872', 'Barrio comúnLOS CONQUISTADORES', 'AntigüedadEntre 5 y 10 años', 'Área construida600 m²', 'Área privada600 m²', 'Valor arriendo$8.000.000', 'Parqueaderos4', ' Área construida 600 m²', '5Habitaciones', '5Baños', '5Estrato']","COD.15597Extensacasaunifamiliarenarriendo,conunáreade600metrosaproximadamenteporconfirmarsobreescrituras,sectorConquistadores,1piso,estrato5.Excelentedistribucióndesusespaciosymaravillosailuminaciónnaturalensusdosniveles,dondeencontramoszonasocialdesalaycomedorindependientes,nuevealcobas,seisclosets,alcobadeservicio,unbañoprivadoycuatrobañossocialesenchapadosycabinadosenvidriotemplado,calentadordepasopráctic",,,,
249,6.2476377,-75.56582,12675-M3049323,2021-09-22,Casa,Conquistadores,Arriendo,$5.000.000,"['Código inmueble12675-M3049323', 'Barrio comúnConquistadores', 'AntigüedadEntre 0 y 5 años', 'Área construida200 m²', 'Área privada200 m²', 'Valor arriendo$5.000.000', 'Parqueaderos1', ' Área construida 200 m²', '5Habitaciones', '3Baños', '5Estrato']","SearriendacasacomercialenConquistadores,cuentaconunáreade200m2distribuidaen8espaciosparaoficinasoconsultorios,3baños,recepción,saladeespera,cocineta,puertavidriera,puertapeatonal,cercaalaClínicaConquistadores,CentroComercialUnicentroyalaAvenida33.",,,,
250,6.26739,,11166-M2870281,2021-09-22,Casa,Laureles,Arriendo,$7.000.000,"['Código inmueble11166-M2870281', 'Barrio comúnLaureles', 'AntigüedadEntre 0 y 5 años', 'Área construida300 m²', 'Área privada300 m²', 'Valor arriendo$7.000.000', 'Parqueaderos1', ' Área construida 300 m²', '5Habitaciones', '2Baños', '5Estrato']",disponibleparaarriendosectorlaurelesdistribuidoen8alcobasconcloset1alcobadeservicio1cuartoutil2baossaloncomedorpatiozonaderopasunexcelentebalconunsolarpisoenbaldosaparqueaderodoblecubiertocercaalcolegiobelenitas,,,,
251,6.2009454,-75.572754,687-I1847251,2021-09-22,Casa,EL POBLADO,Arriendo,$4.900.000,"['Código inmueble687-I1847251', 'Barrio comúnEL POBLADO', 'AntigüedadMás de 20 años', 'Área construida240 m²', 'Área privada240 m²', 'Valor arriendo$4.900.000', 'Parqueaderos2', ' Área construida 240 m²', '4Habitaciones', '4Baños', '6Estrato']","CasaenunidadcerradasectorlosNaranjosconfacilsalidaaservicioscomplementariosenlavisitacionyeltesoro,entornomuytranquiloynatural.Rutasdetransportepublico.Pisoenmarmolymadera,dosniveles,puertadeseguridad,salaycomedorindependientes,estardetvycocinaintegral.4alcobasconbañoenlaprincipal,alcobadeservicio,terrazamuyampliayconsalidaaljardin.Parqueaderosindependientescubiertos.Unidadconparqueinfantil,zonasverdes,vigilancia24horas,citofoniaycircuitocerradodetv",,,,
252,6.213972,-75.567924,849-3766756,2021-09-22,Casa,El Poblado,Arriendo,$3.500.000,"['Código inmueble849-3766756', 'Barrio comúnEl Poblado', 'AntigüedadMás de 20 años', 'Área construida115 m²', 'Área privada115 m²', 'Valor arriendo$3.500.000', ' Área construida 115 m²', '3Habitaciones', '3Baños', '4Estrato']","37gp66756ArriendocasalocalenelPoblado-Manila,área115mt2,3alcobascadaunaconcloset,laprincipalconbaño,2bañossociales,salacomedor,cocinaintegralconreddegas,calentadordepaso,pisoencerámica,parqueaderoprivado;Estrato4,piso1.",,,,
253,6.238472,-75.58869,82-M2309807,2021-09-22,Casa,BELEN,Arriendo,$3.700.000,"['Código inmueble82-M2309807', 'Barrio comúnBELEN', 'AntigüedadEntre 10 y 20 años', 'Área construida165 m²', 'Área privada165 m²', 'Valor arriendo$3.700.000', 'Parqueaderos1', ' Área construida 165 m²', '3Habitaciones', '2Baños', '5Estrato']","Casadeexcelentedistribución,suiluminaciónnaturalpermiteaprovechamientodecadaespacio,lacercaníaatransportepúblicoyvíasprincipalessonideales,suubicaciónfacilitaelmontajedetodotipodenegocioyelsectorcontribuyealcrecimientodelmismo.",,,,
254,6.28148,-75.58755,11395-M2851329,2021-09-22,Casa,Robledo,Arriendo,$1.000.000,"['Código inmueble11395-M2851329', 'Barrio comúnRobledo', 'AntigüedadMás de 20 años', 'Área construida80 m²', 'Área privada80 m²', 'Valor arriendo$1.000.000', ' Área construida 80 m²', '4Habitaciones', '3Baños', '3Estrato']",CasaenArriendoROBLEDOBELLOHORIZONTEMedellinArriendocasacercaalauniversidadsantotomasenrobledoconbuentransportepublicocercazonasverdescomerciocolegiosCARACTERISTICASSALACOMEDOR4ALCOBASCONPUERTAS3CLOSETZONADEROPAS3BAOSCOCINASEMINTEGRALREDDEGASBALCONCOMPARTIDOPISOENCERAMICA3PISOCodigodelInmuebleEspaciourbano1081386CodigoparticulardelanuncianteNORTE,,,,
